pose_id,pose,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
18316,squat,-23.07598081,34.08876257,-19.98312138,185.8444822124124,172.53594866766034,-166.3534911,-173.4644628
18317,squat,-23.26169705,29.571140272511563,-19.25298164,186.31087156559263,172.12352862748938,-167.5104934,-173.0838159
18318,squat,-23.21008748,25.694799815254584,-19.14611674,185.91294630169804,172.67359323280758,-168.948411,-173.3595622
18319,squat,-23.0486929,22.949305542805547,-19.06576355,185.66407075123143,172.900843,-170.2755755,-173.2723701
18320,squat,-22.68068907,20.77747208890004,-19.0586578,185.47795125185732,172.9888657,-171.6199207,-172.6495816
18321,squat,-22.14302602,19.26589654341089,-18.97991364,184.92375635780343,172.4003617237822,-172.7283672,-173.346636
18322,squat,-21.59029878,17.25729019797895,-18.81301498,184.87839558736704,171.99683784887588,-173.5636182,-172.9436013
18323,squat,-20.94653426,16.06706582924502,-18.75561837,184.7493862242592,171.39201188090786,-174.2344777,-172.544415
18324,squat,-20.48904962,14.680360932775011,-18.68280514,184.75037277117872,171.3087935307202,-175.0681401,-171.1703895
18325,squat,-19.62521256,13.774026530665548,-18.50195557,184.6850408595404,170.9039264521747,-177.0212869,-171.1952461
18326,squat,-19.10163481,13.813180065129412,-18.41539405,184.86916199952745,170.66270466973614,-178.0967548,-171.6444431
18327,squat,-18.95033966,14.08419418723271,-18.33578952,184.8261786214588,170.45233851268458,-178.6402485,-171.9664871
18328,squat,-19.31129416,14.748759550924516,-18.42887969,185.00849884701108,170.50083631302536,-181.6904724,-171.6507983
18329,squat,-19.93310063,16.57942041393074,-18.42574908,185.95284558599909,170.50256667078708,-185.0484384,-172.2224222
18330,squat,-21.05167282,18.91091328209555,-18.52863212,186.3537849845679,170.80780955136098,-185.8103045,-173.489164
18331,squat,-21.82787302,21.44865718692944,-18.71776993,186.4772087346936,171.01152230770754,-185.7716746,-175.54237
18332,squat,-22.09521825,24.191869010489643,-18.74582522,186.56889779326224,171.4502583728905,-185.9646602,-177.9906349
18333,squat,-22.28077876,26.42533263331753,-18.62678355,186.7403696671852,171.98696656259258,-185.4970762,-179.1522623
18334,squat,-23.13756116,30.05601095103104,-18.57259928,187.27933904444788,172.08339973377437,-184.1180831,-183.753134
18335,squat,-24.31761155,34.23317889962828,-19.13098946,187.5065024941044,173.28943644546038,-181.615452,-188.6525859
18336,squat,-24.23449121,36.50517881832096,-22.10017334,187.92238878409037,180.39787834631463,-181.9242333,-190.8222785
18337,squat,-23.84086265,37.02661509710804,-24.33870557,188.1780857,184.37090540252183,-180.5533173,-190.8778479
18338,squat,-24.42004553,38.21499375550699,-27.52113141,188.00704520488057,187.3397415286393,-176.4523514,-191.3606547
18339,squat,-24.54186587,40.72107281858082,-30.84088581,187.48700384347737,191.51556440846744,-173.6845156,-194.7443454
18340,squat,-24.38076641,44.92908588867901,-33.01167796,187.39606721712136,192.64189387576727,-173.251154,-198.8000207
18341,squat,-23.36511533,48.10771656510532,-35.95947419,188.8492212491426,198.6317202243129,-173.8325374,-198.861681
18342,squat,-22.67097188,50.40630553796766,-39.3195063,184.6491674017477,203.6296036880699,-170.0361691,-196.9101358
18343,squat,-22.56973102,52.00388435674959,-41.92849532,185.1332413765116,207.500752,-169.8463937,-194.5554049
18344,squat,-22.62382218,50.41832652388457,-44.38810333,183.6094309648262,210.75561422867256,-168.9533312,-191.8473401
18345,squat,-21.77731094,49.11415285934839,-46.65636982,184.3520802796294,211.1962652749965,-171.7610671,-194.1218606
18346,squat,-21.52039976,51.47719012617963,-46.76271375,183.12907934458636,210.0167249806516,-170.4656596,-196.1286104
